"Name","Department","Would Take Again","Level of Difficulty","Total Ratings","Overall Quality","College"
"Brown, Merrick ","Mathematics","N/A","3.5","2","4.0","UNC"
"Skwerer, Sean ","Statistics","N/A","3.0","1","4.5","UNC"
"Hinson, Glenn D","Anthropology","N/A","2.3","3","5.0","UNC"
"Rivard, Courtney ","English","","3.5","15","3.7","UNC"
"Kalyanaraman, Sriram ","Journalism","N/A","2.0","1","5.0","UNC"
"MacKenzie, Jordan ","Philosophy","N/A","3.5","4","4.8","UNC"
"Birchard, Katherine ","Medicine","N/A","4.0","2","4.5","UNC"
"Wang, Bonnie ","Asian Studies","N/A","3.0","1","5.0","UNC"
"Lipshitz, Robert ","Mathematics","N/A","3.0","4","4.4","UNC"
"Forgiel, Elizabeth ","Languages","N/A","2.4","5","4.9","UNC"
"Oliver, Terence ","Journalism","","3.9","8","3.3","UNC"
"Bang, Dongsoo ","Languages","","2.4","10","4.6","UNC"
"O'Connor, Paul ","Journalism","N/A","4.0","5","3.7","UNC"
"Lax, David ","Mathematics","N/A","4.3","3","2.0","UNC"
"Ochoa, Todd R","Religious Studies","","2.7","21","3.8","UNC"
"Babcock, Robert ","Classics","N/A","2.7","4","5.0","UNC"
"Brignole, Francisco ","Spanish","N/A","3.0","3","5.0","UNC"
"Hillis, Kenneth ","Communication Studies","","","","","UNC"
"Towns, Armond R","Communication Studies","N/A","4.0","2","3.5","UNC"
"Wang, Tao ","Statistics","N/A","2.0","10","3.1","UNC"
"Hudley, Joel ","Geology","","3.7","22","2.5","UNC"
"Kitchen, Jim ","Business","","","","","UNC"
"Pollmann, Inga ","German","","2.9","10","3.3","UNC"
"Kris, Mike ","Music","N/A","2.5","2","5.0","UNC"
"Bushek, Nate ","Mathematics","N/A","3.8","5","3.5","UNC"
"Tasar, Eren M","History","","2.7","27","4.8","UNC"
"Sherwood, Peter ","Germanic Languages/Literature","N/A","1.5","2","5.0","UNC"
"Krishnamurthy, Ashok ","Computer Science","N/A","1.5","2","4.5","UNC"
"Woelk, Emma ","German","N/A","3.0","2","5.0","UNC"
"Worthen, Molly ","History","","3.9","10","4.0","UNC"
"Flatt, Emma ","History","","3.0","6","2.7","UNC"
"Costello, Catherine V","Languages","N/A","1.0","1","5.0","UNC"
"Rodriguez, Daniel ","Epidemiology","N/A","4.0","1","4.5","UNC"
"Doyle, Nora ","History","N/A","2.7","3","5.0","UNC"
"Umashankar, Rachana ","Asian Studies","","","","","UNC"
"Smith, Sara ","Geography","","2.1","12","4.3","UNC"
"Adel, Shahla ","Asian Studies","N/A","2.0","3","4.7","UNC"
"Shaw, Ryan ","Information Science","","2.3","8","3.5","UNC"
"Tone-Pah-Hote, Jenny ","American Studies","","2.6","10","4.2","UNC"
"Hamer, Robert ","Biostatistics","N/A","3.0","1","1.0","UNC"
"Anthony, Denise ","Information Science","","","","","UNC"
"McDaneld, Jennifer ","English","N/A","2.5","2","4.5","UNC"
"Penner, Marsha R","Psychology","","3.9","31","3.0","UNC"
"Davis, Andrew ","Communication Studies","N/A","3.0","4","2.9","UNC"
"Lyszak, Brett M","Communication Studies","N/A","3.0","1","3.0","UNC"
"Bardone-Cone, Anna ","Psychology","N/A","2.6","5","4.4","UNC"
"Lisanza, Esther ","Languages","N/A","2.0","7","3.5","UNC"
"Kovach, Margaret M","Geography","N/A","2.0","2","4.3","UNC"
"Binotti, Lucia ","Languages","","2.4","11","3.9","UNC"
"Chahhou, Khalid ","Languages","N/A","3.5","8","3.8","UNC"
"Cunningham, Robin ","Statistics","","2.4","40","4.7","UNC"
"Curtain, Tyler ","English","","2.2","30","4.3","UNC"
"Nathanson, Kevin ","Marketing","N/A","3.0","1","4.0","UNC"
"Sprintzik, Hanna ","Languages","N/A","2.8","5","4.0","UNC"
"Eischen, Ellen ","Mathematics","N/A","2.5","2","4.0","UNC"
"Carter, Hodding ","Public Policy","N/A","3.0","2","3.0","UNC"
"Sobel, Meghan ","Journalism","N/A","4.0","1","4.5","UNC"
"Martell, Jessica ","English","N/A","2.0","1","5.0","UNC"
"Snedegar, Amanda ","Mathematics","N/A","3.0","2","4.8","UNC"
"Sun, Bo ","Languages","N/A","2.0","2","4.0","UNC"
"Dempsey, Jillian ","Chemistry","N/A","3.6","14","4.3","UNC"
"Oldenburg, Amy L","Physics & Astronomy","N/A","4.5","8","1.5","UNC"
"Mitchell, Charles E","Biology","N/A","3.0","1","3.0","UNC"
"Gutierrez, Stephen ","English","","2.5","10","4.9","UNC"
"Searles, Lillie L","Biology","","3.8","14","3.9","UNC"
"Perelman, Elisheva ","Asian Studies","N/A","2.7","6","4.2","UNC"
"Begley, Will ","Classics","N/A","2.8","6","5.0","UNC"
"Gerolimatos, George ","History","N/A","3.0","1","2.0","UNC"
"Salgado, Hugo ","Linguistics","N/A","2.0","1","5.0","UNC"
"Strahl, Brian ","Biochemistry","N/A","3.3","3","4.8","UNC"
"Holden, Jeremy D","Journalism","N/A","2.0","2","5.0","UNC"
"Geil, Melissa ","English","","2.4","28","4.8","UNC"
"Gonzalez, Michelle ","Psychology","N/A","3.0","2","5.0","UNC"
"Mirus, Ben ","Geology","N/A","3.0","2","5.0","UNC"
"Rivero, Alicia ","Spanish","","3.7","7","2.3","UNC"
"Durrance, Christine P","Public Policy","N/A","3.0","5","4.8","UNC"
"Johnson, Melinda ","Spanish","N/A","3.0","1","4.0","UNC"
"Adams, Christine G","English","N/A","4.5","2","3.3","UNC"
"Lentz, Christopher ","Geography","N/A","3.0","2","5.0","UNC"
"Glazier, Jocelyn ","Education","","","","","UNC"
"Kurtz, Laura ","Psychology","N/A","3.3","4","4.9","UNC"
"Bozzato, Daria ","Languages","N/A","1.7","3","4.8","UNC"
"Sanders, Sean ","Computer Science","N/A","2.0","1","5.0","UNC"
"Braunstein, Miriam ","Biology","","","","","UNC"
"Grillo, Luca ","Classics","","4.0","13","3.8","UNC"
"Erickcek, Adrienne ","Physics & Astronomy","N/A","3.0","2","5.0","UNC"
"Carney, Bruce ","Physics & Astronomy","","","","","UNC"
"McMillan, Tim ","African-American Studies","N/A","1.0","1","5.0","UNC"
"Kafri, Tal ","Microbiology","","","","","UNC"
"Pakatci, Kemal ","Computer Science","N/A","2.0","2","3.0","UNC"
"Krome-Lukens, Anna ","History","N/A","3.1","12","4.3","UNC"
"Striley, Katie Margavio","Communication Studies","","3.0","30","4.3","UNC"
"Hicks, Leslie  ","Chemistry","","","","","UNC"
"Wilson, Leroy Lamar","English","N/A","2.7","3","4.2","UNC"
"Lockett, Matthew ","Chemistry","","3.0","29","4.5","UNC"
"Storholt, Walter ","Journalism","","","","","UNC"
"Visser, Robin ","Asian Studies","N/A","3.8","6","4.0","UNC"
"Corbett , Steve  ","Anthropology","N/A","2.4","7","4.1","UNC"
"Maddox, A. ","Biology","N/A","3.0","1","3.0","UNC"
"Hammer, Bradley ","English","","2.5","23","4.4","UNC"
"Bergeton, Uffe ","Asian Studies","","2.2","19","3.5","UNC"
"Calvocoressi, Gabrielle ","English","N/A","2.8","4","5.0","UNC"
"Mumby , Dennis  K ","Communication Studies","N/A","3.3","3","4.5","UNC"
"Farris, Kimberly ","English","N/A","3.0","7","4.3","UNC"
"Moeng, Emily ","Linguistics","N/A","2.0","5","4.9","UNC"
"Wiss, Frederick ","Psychology","","2.2","31","4.0","UNC"
"Meckley, Eric ","English","","2.0","13","4.7","UNC"
"Budarz, Sara ","German","N/A","2.5","6","4.2","UNC"
"Proctor, Bradley ","History","N/A","2.0","2","4.3","UNC"
"Thomas, Neal ","Communication Studies","N/A","3.8","4","2.9","UNC"
"Powell, Jon ","History","N/A","4.0","1","2.0","UNC"
"Downie, Janet ","Classics","N/A","3.8","6","5.0","UNC"
"Moye, Brittany ","Women's Studies","","","","","UNC"
"Richard, Alysia ","Linguistics","N/A","3.0","2","2.5","UNC"
"Wampuszyc, Ewa ","Languages","N/A","2.0","1","5.0","UNC"
"White, Andrew Maxwell ","Computer Science","","","","","UNC"
"Proctor, Travis ","Religious Studies","N/A","2.7","3","3.8","UNC"
"Sherman, Cass ","Mathematics","N/A","3.5","4","3.9","UNC"
"Monaco, Jane ","Biostatistics","","2.6","29","4.6","UNC"
"Estroff, Sue ","Medicine","N/A","3.0","1","5.0","UNC"
"Henning, Reyco ","Physics  Astronomy","","4.5","12","4.3","UNC"
"Schissel, Paul ","Anthropology","N/A","1.0","1","2.5","UNC"
"Turk, Katherine ","History","","2.7","15","4.3","UNC"
"Talbot, Charlie ","Mathematics","N/A","3.0","1","4.5","UNC"
"Balson, Antonio ","Languages","N/A","1.0","2","4.8","UNC"
"Melenovsky, Christopher ","Philosophy","N/A","4.5","2","3.8","UNC"
"Moore, Ryo ","Mathematics","N/A","5.0","1","4.0","UNC"
"Current, Cynthia ","English","","3.0","22","4.1","UNC"
"Hammond, Mary Eileen","Communication Studies","N/A","3.2","5","4.6","UNC"
"Allison, Taylor ","Mathematics","N/A","2.5","2","5.0","UNC"
"Alterovitz, Ron ","Computer Science","N/A","4.0","1","3.5","UNC"
"Marzuola, Jeremy  ","Mathematics","","4.2","12","3.5","UNC"
"Smith, Frank Donelson","Computer Science","N/A","4.3","3","2.8","UNC"
"Soper, Steve ","Chemistry","N/A","3.0","1","1.0","UNC"
"Harvin, Tracy ","English","N/A","1.0","3","5.0","UNC"
"Clegg, Thomas ","Physics  Astronomy","N/A","3.5","4","4.0","UNC"
"Matheson, Calum ","Communication Studies","","","","","UNC"
"Cerami, Adriana ","Languages","N/A","2.0","1","5.0","UNC"
"Rodriguez, Nancy ","Mathematics","N/A","3.8","4","3.7","UNC"
"Coble, Mckay ","Dramatic Arts","","1.9","9","4.5","UNC"
"weed, kym ","English","","3.3","6","3.6","UNC"
"Holmgren, Derek  ","History","N/A","3.0","4","4.1","UNC"
"Freeman, Thomas ","Chemistry","","3.3","77","3.7","UNC"
"Hutton, Richard ","Education","N/A","1.0","1","5.0","UNC"
"Sasser, Elizabeth ","Public Policy","","2.1","15","4.7","UNC"
"Tait, Joshua ","History","N/A","4.0","1","2.0","UNC"
"Gray, David H","Political Science","N/A","2.0","3","2.8","UNC"
"Ahuja, Neel ","English","N/A","3.0","4","4.3","UNC"
"Isom, Rachel ","English","N/A","2.3","3","4.8","UNC"
"Leunissen, Mariska ","Philosophy","","2.3","7","4.0","UNC"
"Moroff, Holger ","Political Science","N/A","3.0","7","2.9","UNC"
"Griest, Stephanie Elizondo ","English","N/A","3.2","4","5.0","UNC"
"Eskew, Nita ","Chemistry","N/A","3.9","7","3.3","UNC"
"Hardin, John ","Public Policy","N/A","3.0","1","4.0","UNC"
"Fern, Michael J.","Computer Science","","","","","UNC"
"Cornwell, Paul  ","Mathematics","N/A","3.5","2","2.8","UNC"
"Locke, Mandy ","Journalism","N/A","3.0","2","4.5","UNC"
"Parshall, Josh ","Humanities","","","","","UNC"
"McClune, Adam ","English","N/A","2.0","1","2.0","UNC"
"Mukherjee, Paula ","Political Science","N/A","3.0","3","3.9","UNC"
"Malahe, Michael ","Mathematics","","","","","UNC"
"Schuster, Michael  ","Mathematics","N/A","2.0","1","4.5","UNC"
"Yeatts, Karin ","Epidemiology","","2.3","12","4.4","UNC"
"Horowitz , Jonathan ","Sociology","","","","","UNC"
"Good, Kate ","Spanish","N/A","2.8","4","4.5","UNC"
"Verdier, Valentin ","Economics","N/A","3.5","2","3.0","UNC"
"Sanchez, Juan ","Spanish","N/A","4.0","1","3.0","UNC"
"Booker, Sarah ","Spanish","N/A","2.5","4","4.5","UNC"
"Williams, Kathy ","Dramatic Arts","","2.2","11","3.2","UNC"
"Middleton, Townsend ","Anthropology","N/A","2.3","8","4.3","UNC"
"Ba, Heather ","Political Science","N/A","3.0","1","4.5","UNC"
"Fraser, Missy ","Exercise  Sport Science","N/A","3.5","2","3.8","UNC"
"Hicks, Leslie ","Chemistry","N/A","3.2","4","4.2","UNC"
"Arnosti, Carol ","Marine Sciences","N/A","2.0","1","4.0","UNC"
"Fuchs, Henry ","Computer Science","N/A","3.8","6","3.4","UNC"
"Ifekwunigwe, Jayne ","Ethnic Studies","N/A","1.5","2","4.8","UNC"
"Hopfinger, Joseph  ","Psychology","N/A","3.7","7","3.0","UNC"
"Bauer, Jennifer ","Art History","","3.3","10","2.6","UNC"
"Lopez-Sanders, Laura  ","Sociology","N/A","1.0","1","4.5","UNC"
"Bodwin, Kelly ","Statistics","N/A","2.8","7","4.5","UNC"
"Sparko, Alexis  ","Mathematics","","","","","UNC"
"Lane, Amy ","Exercise  Sport Science","N/A","5.0","1","1.5","UNC"
"Willig, Colton ","Mathematics","N/A","3.0","1","3.0","UNC"
"Harford, Anne-Shirley  ","Spanish","N/A","2.5","4","4.9","UNC"
"Holt, Kelli ","English","","1.7","13","4.6","UNC"
"Gray, Kurt ","Psychology","N/A","3.0","1","5.0","UNC"
"Driggers, Kyle ","Philosophy","N/A","3.0","1","5.0","UNC"
"Bane , John ","Marine Sciences","N/A","3.3","4","3.0","UNC"
"Aikat, Jayasharee ","Computer Science","N/A","2.7","9","3.8","UNC"
"Haskin, Michelle ","Geology","","3.4","24","2.7","UNC"
"White, Peter ","Biology","","3.8","6","2.9","UNC"
"Agbe-davies, Anna ","Anthropology","","2.7","18","3.0","UNC"
"Bessette , Jordan ","Languages","N/A","3.2","4","3.9","UNC"
"Fan, Wai-Tong Louis ","Statistics","","","","","UNC"
"Thananopavarn, Susan ","English","","","","","UNC"
"Rivkin-Fish, Michele ","Anthropology","","2.7","15","3.5","UNC"
"Yu, Guan ","Statistics","N/A","2.0","1","3.5","UNC"
"Hammer, Juliane ","Religious Studies","N/A","2.5","2","3.5","UNC"
"Ault, Julie ","History","N/A","3.0","1","5.0","UNC"
"Fauser, Annegret ","Music","","1.8","7","4.3","UNC"
"Monrose, Fabian ","Computer Science","N/A","4.0","1","3.0","UNC"
"Tanner, Jessica ","Languages","N/A","3.0","2","5.0","UNC"
"Tzou, Chung-Nan ","Mathematics","N/A","4.0","1","4.5","UNC"
"Haefele, Chad ","Information Science","","","","","UNC"
"Gulledge, Suzanne ","Education","N/A","2.0","3","5.0","UNC"
"Partin, William ","Art History","N/A","1.3","4","4.8","UNC"
"Blate, Alex ","Computer Science","N/A","5.0","1","2.5","UNC"
"Baldwin, Seth  ","Mathematics","","","","","UNC"
"Wood, Megan ","Communication Studies","N/A","3.0","2","4.3","UNC"
"Sueldo, Martin ","Spanish","","2.6","13","4.5","UNC"
"Buckingham, Emma ","Classics","","","","","UNC"
"Garrett, Kristin ","Political Science","N/A","2.5","2","4.8","UNC"
"Xia, Yin ","Statistics","","","","","UNC"
"Kulkarni, Vidyadhar ","Statistics","N/A","5.0","2","3.5","UNC"
"Stephens, Rebecca ","Psychology","","","","","UNC"
"Fuller, Brooks ","Journalism","N/A","3.3","3","4.8","UNC"
"Yang, Caroline ","Mathematics","N/A","3.5","8","4.5","UNC"
"ALDER, SIMON  ","Economics","N/A","3.2","7","3.8","UNC"
"Green, Linda ","Select department","","","","","UNC"
"Parke, William ","Economics","N/A","3.0","4","2.4","UNC"
"Bardawil, Fadi ","Asian Studies","N/A","3.2","5","3.4","UNC"
"Ziya, Serhan ","Statistics","","3.2","13","3.8","UNC"
"Ackermann, Jeff ","Economics","N/A","3.3","4","3.1","UNC"
"Ferguson, Paul ","Communication Studies","N/A","4.0","1","5.0","UNC"
"Beeby, Cicek ","Classics","N/A","4.1","11","2.7","UNC"
"Holland, Sharon ","American Studies","","2.5","8","4.5","UNC"
"Firle, Luke ","Art","","","","","UNC"
"Martinez-Schuldt, Ricardo ","Sociology","","1.7","7","4.9","UNC"
"Taylor, Anne M","Biomedical Engineering","N/A","3.5","4","1.8","UNC"
"Robinson, Quentin ","Mathematics","N/A","3.0","2","2.3","UNC"
"Carrasco Llopis, Cristina ","Spanish","","3.4","11","3.8","UNC"
"George, Sarah ","English","N/A","1.3","6","4.9","UNC"
"Melehy, Hassan ","Film","N/A","2.0","3","5.0","UNC"
"Megel, Joseph ","Communication Studies","","3.0","6","3.8","UNC"
"Danson, Eli ","Physical Education","N/A","1.0","1","4.5","UNC"
"Nehler, Chelsea ","Psychology","N/A","2.5","4","3.8","UNC"
"Brown, Brookes ","Philosophy","N/A","3.6","5","4.3","UNC"
"Palfy, Cora ","Music","N/A","2.5","2","4.5","UNC"
"Mole, Gregory ","History","N/A","3.0","2","4.5","UNC"
"Svirsky, Larisa ","Philosophy","N/A","4.0","1","4.0","UNC"
"Lu, Jianping ","Physics  Astronomy","N/A","4.0","4","3.6","UNC"
"Trinh, Quoc Dan","Statistics","N/A","3.3","4","2.0","UNC"
"Pier, David ","African-American Studies","","2.6","11","3.9","UNC"
"Arbuckle, Benjamin ","Anthropology","","1.8","14","4.7","UNC"
"Nobel, Andrew ","Statistics","N/A","3.5","6","1.4","UNC"
"Sherman, Daniel ","Art History","N/A","3.5","2","2.8","UNC"
"Johnson, Rhi ","Spanish","N/A","1.7","4","4.3","UNC"
"Carmichael, Iain ","Statistics","","","","","UNC"
"Havice, Elizabeth ","Geography","N/A","3.2","10","2.5","UNC"
"Berg, Tamara ","Computer Science","","","","","UNC"
"Elliot, Christopher  ","Sociology","N/A","1.0","1","5.0","UNC"
"Del Negro, Lori ","Chemistry","","4.5","70","1.2","UNC"
"Conlon, Frank ","Biology","N/A","3.9","7","2.1","UNC"
"Lawrence, Jackie ","Education","N/A","2.0","5","4.8","UNC"
"Toalson, Susan ","English","","","","","UNC"
"Schueller, Matt ","Classics","","3.9","8","2.6","UNC"
"Leslie, Paull ","Anthropology","N/A","3.0","6","3.4","UNC"
"Rodriguez, Antonio ","Marine Sciences","N/A","3.0","1","4.0","UNC"
"Scovell, Monica ","Languages","N/A","3.0","2","4.0","UNC"
"Porter, Caroline ","English","","1.8","8","4.5","UNC"
"Bell, Gregory ","Environmental Sci  Eng","","","","","UNC"
"Hassell, Lewis ","Information Science","","","","","UNC"
"Pedersen, Lee ","Chemistry","N/A","4.5","11","1.6","UNC"
"Fallah , Amy  ","Communication Studies","N/A","2.5","2","3.5","UNC"
"Kamens, Richard ","Environmental Sci  Eng","","","","","UNC"
"Mwamzandi, Mohamed ","Languages","N/A","1.8","4","4.8","UNC"
"Dares, Christopher  ","Chemistry","N/A","4.7","3","2.3","UNC"
"Sawon, Jason ","Mathematics","N/A","3.0","1","4.0","UNC"
"McKay, Dan ","Biology","N/A","2.2","4","4.8","UNC"
"Morrison, Mosi ","Sociology","N/A","2.7","3","3.7","UNC"
"Garner, Brian ","Art","N/A","3.0","1","5.0","UNC"
"Neblett, Enrique ","Psychology","N/A","1.8","5","4.7","UNC"
"Pancani, Giulia ","Psychology","","3.3","12","4.5","UNC"
"Ifatunji, Mosi ","Sociology","","3.1","9","3.3","UNC"
"Argon, Nilay ","Statistics","","2.6","10","3.6","UNC"
"Kaza, Nikhil ","Social Science","N/A","4.5","2","2.8","UNC"
"Bohlman, Andrea ","Music","N/A","1.0","1","4.0","UNC"
"Kim, Heidi ","English","N/A","3.0","3","4.3","UNC"
"Reid, Lindsay ","Political Science","N/A","3.0","2","4.3","UNC"
"Davis, Bonnie Newman","Journalism","N/A","1.0","1","2.5","UNC"
"Fried, Howard ","Medicine","N/A","3.5","4","2.9","UNC"
"Stein , Larry ","Public Policy","N/A","2.0","1","4.0","UNC"
"White, Amy ","Art","N/A","3.0","1","4.5","UNC"
"Reyes, Alexandra  ","Spanish","N/A","2.5","10","4.5","UNC"
"Marron, James Steve","Mathematics","","3.4","10","1.7","UNC"
"Nuñez Pouzols, Marta ","Spanish","N/A","4.0","1","3.5","UNC"
"Wurfel, Gesche ","Art","","4.1","9","3.8","UNC"
"Valparis, Amaia ","Spanish","","2.5","8","4.7","UNC"
"Asis, Gonzalo ","Economics","N/A","3.0","1","5.0","UNC"
"Jenkins, Robert  ","Political Science","","3.6","8","4.6","UNC"
"Cole, Justin  ","Political Science","","","","","UNC"
"Abeles, Oren ","English","N/A","2.0","1","4.5","UNC"
"Beck, Melinda ","Nutrition","","4.2","9","2.0","UNC"
"Turkoglu, Didem ","Sociology","N/A","3.7","3","2.3","UNC"
"Zimmerman, Brigitte ","Public Policy","","3.0","7","4.0","UNC"
"Kleinman, Sherryl ","Sociology","N/A","2.2","5","5.0","UNC"
"Hughes, Sherick ","Education","N/A","2.0","5","3.9","UNC"
"Lentz, Christian ","Geography","","2.7","14","4.3","UNC"
"Anderson, Stephen ","Music","","2.4","28","4.1","UNC"
"Richotte, Keith ","American Studies","","3.3","6","3.0","UNC"
"Summerlin-Long, Jeff ","Public Policy","","2.9","32","3.9","UNC"
"Chambless, Amy ","Languages","N/A","2.3","6","4.9","UNC"
"Zhang, Yu ","Statistics","","","","","UNC"
"Wise, Erika ","Geography","N/A","2.0","1","5.0","UNC"
"Relyea, Jackie ","Languages","N/A","3.5","2","5.0","UNC"
"Casey, Elena ","Spanish","N/A","2.6","5","4.8","UNC"
"Johnson, Dane ","Statistics","N/A","1.0","1","4.0","UNC"
"King, Larry ","Spanish","N/A","2.0","1","4.5","UNC"
"Reuman, Lillian ","Psychology","N/A","3.0","2","4.3","UNC"
"Cai, Yong ","Sociology","","2.1","10","3.0","UNC"
"Fukuya, Shoko ","Languages","N/A","4.0","6","4.5","UNC"
"Mixon, Candace ","Religious Studies","N/A","3.0","1","3.0","UNC"
"Hubbard, Devin ","Biomedical Engineering","","1.6","9","4.8","UNC"
"Williams, Jonathan ","Economics","N/A","3.0","2","4.5","UNC"
"O'Rourke, Susan ","English","N/A","3.5","4","3.4","UNC"
"Moulton, Jeremy ","Public Policy","N/A","3.5","4","3.9","UNC"
"Kamman, Aliza ","Exercise  Sport Science","","","","","UNC"
"Burkhead, Emily ","Mathematics","","3.3","22","4.6","UNC"
"Chamberlain, Brittany ","Anthropology","","","","","UNC"
"Parker, Alex ","Computer Science","N/A","4.0","1","5.0","UNC"
"Perez, Anthony ","Sociology","","3.1","10","3.8","UNC"
"Sorensen, Eric ","Communication Studies","N/A","1.7","3","5.0","UNC"
"Martin, Nina ","Geography","","2.4","17","3.0","UNC"
"Goodwin, Joy ","Communication Studies","","","","","UNC"
"Mohamed, Rahim ","Political Science","N/A","3.8","5","4.3","UNC"
"Pungello, Elizabeth ","Psychology","N/A","2.0","1","4.5","UNC"
"Huang, Jingfang ","Mathematics","","3.1","8","2.7","UNC"
"Stimpson, Jing ","Asian Studies","N/A","2.6","5","4.8","UNC"
"Yang, Clara ","Music","N/A","3.0","3","5.0","UNC"
"Abernathy, Penny ","Journalism","N/A","3.0","1","5.0","UNC"
"Traut, Thomas ","Biochemistry","N/A","4.0","3","2.1","UNC"
"Ramirez, Geovani ","English","","3.1","18","4.6","UNC"
"Tarran, Robert ","Biology","","","","","UNC"
"Baumgartner, Frank ","Political Science","","2.9","10","4.3","UNC"
"Heitsch, Fabian ","Physics  Astronomy","","3.0","5","3.6","UNC"
"Merino-Rajme, Carla ","Philosophy","N/A","4.0","1","3.0","UNC"
"Szypszak, Charles ","Political Science","","2.9","8","4.6","UNC"
"Mansfield, Alyssa ","Health Administration","N/A","5.0","1","1.5","UNC"
"Olinde, Rhagen ","English","","1.3","6","5.0","UNC"
"Prudhom, Andrew ","Computer Science","","3.4","8","4.9","UNC"
"Sherry, Lucas ","Sociology","N/A","2.0","2","2.3","UNC"
"Thomson, Leslie ","Information Science","N/A","2.0","1","5.0","UNC"
"Delgobbo, Peter ","English","N/A","1.8","5","4.0","UNC"
"Augustine, Nora ","English","","2.6","8","4.2","UNC"
"Donnelly, Kenneth Patrick","Biomedical Engineering","N/A","3.5","2","3.0","UNC"
"Metcalfe, Jason ","Mathematics","","4.0","13","5.0","UNC"
"Blankenship, Justin ","Journalism","","","","","UNC"
"Lisanza, Esther ","African-American Studies","","3.4","7","2.6","UNC"
"Vanderhamm, David ","Music","N/A","2.0","2","5.0","UNC"
"May, Steve K","Communication Studies","N/A","1.0","1","5.0","UNC"
"Alexander, Travis ","English","","2.1","25","5.0","UNC"
"North, Kari Ellen","Epidemiology","N/A","2.7","3","5.0","UNC"
"Harris, Daniel ","Mathematics","N/A","4.0","1","4.0","UNC"
"Tatham, Logan ","Mathematics","N/A","1.6","5","5.0","UNC"
"Custer, James ","Chemistry","N/A","4.0","2","4.0","UNC"
"Phillips, Paul ","Art","N/A","3.0","1","3.5","UNC"
"Jarrahi, Mohammad Hossein","Information Science","N/A","2.0","2","4.8","UNC"
"Gualteri-Reed, Elizabeth ","English","N/A","2.7","3","5.0","UNC"
"Slabodnick, Mark ","Biology","N/A","3.0","1","4.0","UNC"
"May, Steven ","Communication Studies","N/A","3.0","1","3.5","UNC"
"Merritt, Daisha ","Public Policy","N/A","3.7","3","2.3","UNC"
"Hazen, Jennifer ","Public Policy","","3.4","14","4.0","UNC"
"Horn, Patrick E","English","","","","","UNC"
"Varangis, Eleanna ","Psychology","N/A","4.0","1","5.0","UNC"
"Schorey, Shannon ","Philosophy","N/A","4.0","1","5.0","UNC"
"Smith, Robin R","English","N/A","2.0","1","5.0","UNC"
"Wallace, Colin ","Physics  Astronomy","","3.1","28","4.5","UNC"
"Aha, Katherine ","Political Science","N/A","2.6","5","4.0","UNC"
"Sams, G.K. ","Art History","N/A","2.5","2","3.0","UNC"
"Vredeveld, Kayla ","Exercise  Sport Science","N/A","3.0","2","2.3","UNC"
"Maier, Meredith ","Spanish","","3.2","7","5.0","UNC"
"Kim, Dan Dong Hoo ","Journalism","N/A","3.0","4","3.5","UNC"
"Penich, Keith ","Classics","N/A","3.0","2","4.5","UNC"
"Navalinksy, David ","Dramatic Arts","N/A","2.8","6","3.4","UNC"
"Stockwell, Jennifer ","English","N/A","3.0","3","2.7","UNC"
"Stern, Kimberly ","English","N/A","3.6","5","5.0","UNC"
"Kinsella, Tanya ","German","N/A","2.8","4","4.8","UNC"
"Townsend, Lauren ","Philosophy","N/A","2.3","3","4.7","UNC"
"McDonald, Robert ","Communication Studies","","","","","UNC"
"Gifford, Scott ","Marine Sciences","","3.0","7","3.7","UNC"
"Trogdon, Justin ","Health Policy  Management","","","","","UNC"
"Baird, Pressley ","Journalism","","2.4","11","5.0","UNC"
"Prica, Aleksandra ","Germanic LanguagesLiterature","","2.3","9","5.0","UNC"
"Chopra, Shally ","Biology","","","","","UNC"
"Griffith, Boyce ","Mathematics","","3.0","5","4.4","UNC"
"Singer, Sarah ","English","N/A","3.0","5","3.7","UNC"
"Husain, Atiya ","Sociology","N/A","2.5","2","4.8","UNC"
"Lerma, Manuel ","Sociology","","","","","UNC"
"Zhai, Haojin ","Statistics","","","","","UNC"
"Ofstehage, Andrew ","Anthropology","","","","","UNC"
"Cao, Maggie ","Art History","N/A","2.8","4","4.5","UNC"
"Edwards, Alicia ","Communication Studies","","","","","UNC"
"Ozerkevich, Rachel M","Art History","N/A","1.8","5","5.0","UNC"
"Pinton, Gianmarco ","Biomedical Engineering","N/A","3.7","3","2.1","UNC"
"Law, Nicholas ","Physics  Astronomy","","","","","UNC"
"Alamo, Juan ","Music","","1.8","11","4.0","UNC"
"Eppsteiner, Holly ","Sociology","N/A","2.0","1","5.0","UNC"
"Fuller, Sarah Crittenden","Public Policy","","","","","UNC"
"Corral, Emiliano ","Public Policy","","","","","UNC"
"Lentz, Barry ","Biochemistry","","","","","UNC"
"Day, Travis ","Business","N/A","5.0","1","2.0","UNC"
"Carter, Jason ","Information Science","","","","","UNC"
"Slenn, Tammy ","Chemistry","N/A","2.7","3","4.3","UNC"
"Rigby, David ","Sociology","","2.8","6","2.3","UNC"
"Gotz, David ","Information Science","N/A","4.0","1","5.0","UNC"
"Knight, Michael Muhammad","Religious Studies","","","","","UNC"
"Ramirez, Nestor ","Education","","","","","UNC"
"Field, Alfred ","Economics","","","","","UNC"
"Cascio, Ariel ","Anthropology","","","","","UNC"
